wv,n,k
584.160828,1.549694,0.001462
585.754883,1.549654,0.001445
587.348938,1.549634,0.001427
588.942871,1.549262,0.001378
590.536804,1.549137,0.001354
592.130676,1.549213,0.001348
593.724487,1.54887,0.001301
595.318237,1.548649,0.00127
596.911987,1.548727,0.001266
598.505615,1.548525,0.001232
600.099243,1.548206,0.001195
601.69281,1.548174,0.001182
603.286316,1.548168,0.001168
604.879761,1.547822,0.001129
606.473145,1.547664,0.001106
608.066528,1.547772,0.001105
609.65979,1.547506,0.00107
611.253052,1.547222,0.00104
612.846252,1.547202,0.00103
614.439331,1.547195,0.001018
616.03241,1.546866,0.000984
617.625427,1.546698,0.000963
619.218384,1.546775,0.00096
620.81134,1.546602,0.000936
622.404175,1.546292,0.000908
623.996948,1.546218,0.000895
625.589722,1.546285,0.000891
627.182373,1.546003,0.000862
628.775024,1.545765,0.00084
630.367554,1.545758,0.000832
631.960083,1.545751,0.000822
633.55249,1.545448,0.000796
635.144897,1.545266,0.000779
636.737183,1.545302,0.000774
638.329468,1.54523,0.00076
639.921692,1.544927,0.000737
641.513794,1.544783,0.000722
643.105835,1.544841,0.000719
644.697876,1.544727,0.000704
646.289856,1.544432,0.000683
647.881714,1.544306,0.00067
649.473572,1.54437,0.000668
651.065308,1.544245,0.000653
652.657104,1.543957,0.000633
654.248657,1.543832,0.000622
655.840271,1.54389,0.000619
657.431763,1.543783,0.000607
659.023254,1.543501,0.000589
660.614624,1.543363,0.000577
662.205933,1.543402,0.000574
663.797241,1.543339,0.000565
665.388367,1.543065,0.000548
666.979492,1.542902,0.000536
668.570557,1.54291,0.000532
670.16156,1.542907,0.000526
671.752502,1.542655,0.00051
673.343323,1.542456,0.000499
674.934143,1.542421,0.000493
676.524841,1.54248,0.000491
678.115479,1.542276,0.000477
679.706055,1.542034,0.000464
681.29657,1.541944,0.000457
682.887024,1.542003,0.000455
684.477417,1.541904,0.000446
686.067688,1.541647,0.000433
687.657898,1.541494,0.000425
689.248108,1.541489,0.000421
690.838196,1.541515,0.000418
692.428162,1.541304,0.000406
694.018127,1.541084,0.000396
695.608032,1.541003,0.00039
697.197815,1.541056,0.000388
698.787476,1.540974,0.000381
700.377136,1.540731,0.000371
701.966736,1.540567,0.000363
703.556274,1.540538,0.000359
705.14563,1.5406,0.000358
706.734985,1.54044,0.000348
708.324341,1.540199,0.000339
709.913513,1.540075,0.000333
711.502625,1.540077,0.00033
713.091675,1.540099,0.000328
714.680664,1.53991,0.000319
716.269592,1.539694,0.000312
717.858398,1.539595,0.000306
719.447144,1.539613,0.000304
721.035767,1.539608,0.000301
722.62439,1.539412,0.000293
724.212891,1.53921,0.000286
725.801331,1.53912,0.000282
