wv,n,k
584.160828,3.075801,0.275342
585.754883,3.074003,0.273674
587.348938,3.072238,0.272042
588.942871,3.070472,0.27041
590.536804,3.068709,0.268778
592.130676,3.067013,0.267215
593.724487,3.065316,0.26565
595.318237,3.063619,0.264084
596.911987,3.061958,0.262552
598.505615,3.060337,0.261058
600.099243,3.058716,0.259563
601.69281,3.057094,0.258066
603.286316,3.055536,0.256629
604.879761,3.053989,0.255203
606.473145,3.052442,0.253776
608.066528,3.050904,0.252356
609.65979,3.049424,0.250989
611.253052,3.047944,0.249622
612.846252,3.046464,0.248253
614.439331,3.045011,0.246905
616.03241,3.043605,0.245595
617.625427,3.042199,0.244284
619.218384,3.040792,0.242972
620.81134,3.039421,0.241689
622.404175,3.038083,0.240435
623.996948,3.036744,0.23918
625.589722,3.035406,0.237924
627.182373,3.034108,0.236698
628.775024,3.032839,0.235495
630.367554,3.031571,0.234291
631.960083,3.030302,0.233085
633.55249,3.029074,0.231909
635.144897,3.027877,0.230755
636.737183,3.026681,0.2296
638.329468,3.025484,0.228444
639.921692,3.024318,0.22731
641.513794,3.023187,0.2262
643.105835,3.022056,0.22509
644.697876,3.020925,0.223979
646.289856,3.019814,0.22288
647.881714,3.018754,0.22181
649.473572,3.017694,0.22074
651.065308,3.016634,0.219669
652.657104,3.015575,0.218597
654.248657,3.014581,0.217571
655.840271,3.013587,0.216543
657.431763,3.012593,0.215515
659.023254,3.011599,0.214487
660.614624,3.010645,0.213479
662.205933,3.009714,0.212483
663.797241,3.008783,0.211486
665.388367,3.007851,0.210489
666.979492,3.006934,0.209498
668.570557,3.006075,0.208535
670.16156,3.005215,0.207572
671.752502,3.004356,0.206608
673.343323,3.003497,0.205644
674.934143,3.002678,0.2047
676.524841,3.001881,0.203767
678.115479,3.001085,0.202833
679.706055,3.000288,0.201899
681.29657,2.999491,0.200964
682.887024,2.998761,0.200057
684.477417,2.998031,0.199149
686.067688,2.997302,0.198241
687.657898,2.996572,0.197332
689.248108,2.995858,0.196429
690.838196,2.995193,0.195547
692.428162,2.994529,0.194664
694.018127,2.993864,0.193781
695.608032,2.9932,0.192898
697.197815,2.992559,0.192022
698.787476,2.99196,0.191161
700.377136,2.991362,0.1903
701.966736,2.990763,0.189438
703.556274,2.990165,0.188576
705.14563,2.989593,0.187721
706.734985,2.989064,0.186878
708.324341,2.988535,0.186034
709.913513,2.988007,0.185191
711.502625,2.987478,0.184346
713.091675,2.98697,0.183506
714.680664,2.986511,0.182677
716.269592,2.986053,0.181848
717.858398,2.985595,0.181019
719.447144,2.985137,0.180189
721.035767,2.984684,0.17936
722.62439,2.984299,0.178546
724.212891,2.983915,0.177731
725.801331,2.98353,0.176916
727.389709,2.983146,0.1761
728.977966,2.982762,0.175285
730.566162,2.982434,0.174476
732.154236,2.982126,0.173669
733.74231,2.981818,0.172862
735.3302,2.981511,0.172055
736.918091,2.981204,0.171247
738.50592,2.980919,0.170443
740.093628,2.980697,0.169647
741.681274,2.980475,0.16885
