wv,n,k
638.358887,1.545225,0.00076
639.948303,1.544923,0.000736
641.537598,1.544782,0.000722
643.126831,1.544842,0.000719
644.716003,1.544724,0.000704
646.305115,1.54443,0.000683
647.894104,1.544305,0.00067
649.483032,1.544371,0.000668
651.071899,1.544243,0.000653
652.660583,1.543956,0.000633
654.249207,1.543832,0.000622
655.837769,1.54389,0.000619
657.42627,1.543784,0.000607
659.014709,1.543502,0.000589
660.602966,1.543363,0.000578
662.191223,1.543401,0.000574
663.779297,1.543342,0.000565
665.36731,1.543068,0.000548
666.955261,1.542903,0.000536
668.543152,1.542909,0.000532
670.13092,1.542911,0.000526
671.718628,1.54266,0.000511
673.306152,1.542458,0.000499
674.893677,1.542419,0.000493
676.481079,1.542484,0.000491
678.068359,1.542285,0.000477
679.655579,1.542039,0.000465
681.242676,1.541945,0.000457
682.829712,1.541999,0.000455
684.416626,1.541912,0.000447
686.00354,1.541656,0.000434
687.59021,1.541497,0.000425
689.17688,1.541486,0.000421
690.763428,1.541522,0.000418
692.349915,1.541318,0.000407
693.936279,1.541093,0.000396
695.522522,1.541004,0.00039
697.108704,1.541049,0.000388
698.694763,1.540984,0.000382
700.280701,1.540745,0.000371
701.866577,1.540573,0.000363
703.452393,1.540535,0.000359
705.038025,1.540608,0.000358
706.623657,1.540454,0.000349
708.209106,1.540213,0.00034
709.794495,1.54008,0.000334
711.379761,1.540073,0.000331
712.964966,1.540108,0.000329
714.549988,1.539932,0.00032
716.13501,1.539708,0.000312
717.719849,1.539599,0.000307
719.304626,1.539608,0.000304
720.889282,1.53962,0.000302
722.473877,1.539436,0.000294
724.058289,1.539225,0.000287
725.6427,1.539123,0.000282
727.226929,1.539135,0.00028
728.811096,1.539145,0.000278
730.395142,1.538966,0.000271
731.979065,1.538758,0.000264
733.562866,1.538651,0.00026
735.146606,1.538653,0.000258
736.730225,1.538681,0.000256
738.313721,1.538523,0.00025
739.897156,1.538307,0.000244
741.480408,1.538185,0.000239
743.063599,1.538168,0.000237
744.646729,1.538225,0.000236
746.229675,1.538093,0.000231
747.812561,1.537878,0.000225
749.395325,1.537731,0.000221
750.977905,1.537683,0.000218
752.560425,1.537725,0.000217
754.142883,1.537667,0.000214
755.72522,1.537475,0.000209
757.307373,1.537297,0.000204
758.889526,1.53721,0.000201
760.471436,1.537214,0.0002
762.053345,1.53724,0.000198
763.635071,1.537103,0.000194
765.216675,1.536895,0.000189
766.798218,1.536762,0.000186
768.379639,1.536717,0.000184
769.960938,1.536752,0.000183
771.542114,1.536707,0.00018
773.123169,1.536533,0.000176
774.704102,1.536352,0.000172
776.284912,1.53625,0.00017
777.865601,1.536231,0.000168
779.446228,1.536282,0.000167
781.026733,1.536181,0.000164
782.607056,1.535995,0.00016
784.187317,1.535833,0.000157
785.767456,1.535748,0.000155
787.347473,1.535741,0.000154
788.927368,1.535785,0.000153
790.507141,1.535671,0.00015
792.086792,1.535483,0.000146
793.666321,1.53533,0.000144
795.245728,1.53525,0.000142
796.825012,1.535244,0.000141
798.404175,1.535286,0.00014
799.983215,1.535176,0.000137
801.562134,1.534994,0.000134
803.14093,1.53484,0.000131
804.719604,1.534754,0.00013
806.298157,1.534738,0.000128
807.876587,1.53478,0.000128
809.454834,1.534694,0.000126
811.033081,1.534529,0.000123
812.611084,1.534364,0.000121
814.189026,1.534262,0.000119
